target,horizon,feature,abs_corr,mutual_info,lasso_selection_frequency,rank_score
CPIAUCSL,3,WPSID62,0.05555955801885189,0.018738815146090104,0.10256410256410256,0.42076502732240434
CPIAUCSL,3,DMANEMP,0.06570279491880765,0.020369345728604493,0.07692307692307693,0.41803278688524587
CPIAUCSL,3,S&P div yield,0.054006416020145026,0.05291927839795063,0.02564102564102564,0.41803278688524587
CPIAUCSL,3,IPB51222S,0.023536487349136173,0.016317017412100565,0.3333333333333333,0.4166666666666667
CPIAUCSL,3,S&P PE ratio,0.06073125629885493,0.004903914291024325,0.15384615384615385,0.41530054644808745
CPIAUCSL,3,BUSLOANS,0.035663139232435165,0.0,0.4358974358974359,0.40437158469945356
CPIAUCSL,3,USGOOD,0.05584250123432027,0.05849430987539561,0.0,0.39890710382513656
CPIAUCSL,3,CMRMTSPLx,0.033276708571102424,0.010514300536467402,0.2564102564102564,0.39071038251366125
CPIAUCSL,3,DSERRG3M086SBEA,0.031038208131631943,0.009077266422329089,0.28205128205128205,0.38934426229508196
CPIAUCSL,3,DNDGRG3M086SBEA,0.08527437483850753,0.015289577769811658,0.02564102564102564,0.3825136612021858
CPIAUCSL,3,CPITRNSL,0.08808654391844607,0.00582301699423482,0.05128205128205128,0.37841530054644806
CPIAUCSL,3,WPSFD49502,0.07925685640807086,0.0,0.1282051282051282,0.3743169398907103
CPIAUCSL,3,SRVPRD,0.06871329931335907,0.012357199815026032,0.05128205128205128,0.3729508196721311
CPIAUCSL,3,W875RX1,0.025199629809368594,0.02357086948624909,0.1282051282051282,0.366120218579235
CPIAUCSL,3,PAYEMS,0.05975833729194515,0.037126512950555135,0.0,0.3551912568306011
CPIAUCSL,3,M1SL,0.0014634571646843077,0.04967621757115781,0.15384615384615385,0.3551912568306011
CPIAUCSL,3,REALLN,0.03733801359770923,0.0,0.28205128205128205,0.35109289617486333
CPIAUCSL,3,CPIMEDSL,0.013831347830051615,0.07012961480265378,0.02564102564102564,0.3497267759562841
CPIAUCSL,3,S&P 500,0.0054831380549156695,0.0011295484387048305,0.4358974358974359,0.3469945355191257
CPIAUCSL,3,CPIAPPSL,0.014868715492881454,0.0470479727966433,0.07692307692307693,0.3469945355191257
CPIAUCSL,3,UEMP5TO14,0.0225937619907199,0.007987850779757721,0.23076923076923078,0.342896174863388
CPIAUCSL,3,PCEPI,0.08374739370910304,0.013740796448641124,0.0,0.3333333333333333
CPIAUCSL,3,UEMP27OV,0.02531658440657442,0.031665870463630785,0.07692307692307693,0.3306010928961749
CPIAUCSL,3,UEMPMEAN,0.008788820500240038,0.005021203564369525,0.3076923076923077,0.3251366120218579
CPIAUCSL,3,DPCERA3M086SBEA,0.02578807973330245,0.0,0.28205128205128205,0.3183060109289617
CPIAUCSL,3,PPICMM,0.03274061502870416,0.0,0.23076923076923078,0.31010928961748635
CPIAUCSL,3,CES2000000008,0.02773998341194155,0.0,0.20512820512820512,0.29098360655737704
CPIAUCSL,3,IPFINAL,0.053656227144600464,0.0,0.07692307692307693,0.2896174863387978
CPIAUCSL,3,IPNCONGD,0.01893105013051909,0.0,0.2564102564102564,0.28415300546448086
CPIAUCSL,3,CES0600000008,0.010874105703700603,0.044947314693079665,0.02564102564102564,0.2759562841530055
CPIAUCSL,3,HWIURATIO,0.035588803591107124,0.0,0.10256410256410256,0.273224043715847
CPIAUCSL,3,RPI,0.0006923593972630495,0.0,0.358974358974359,0.26229508196721313
CPIAUCSL,3,UEMP15OV,0.012279786823163902,0.013390412053696732,0.07692307692307693,0.25956284153005466
CPIAUCSL,3,INVEST,0.03356286019485054,0.00437036800863666,0.02564102564102564,0.2377049180327869
CPIAUCSL,3,AWOTMAN,0.01001628300134805,0.005104429472225558,0.07692307692307693,0.22677595628415304
CPIAUCSL,3,NONREVSL,0.02648038631385967,0.0,0.07692307692307693,0.226775956284153
CPIAUCSL,3,IPMAT,0.03737616004226554,0.005064529794087225,0.0,0.22404371584699453
CPIAUCSL,3,NONBORRES,0.023708751889478897,0.0,0.07692307692307693,0.21584699453551914
CPIAUCSL,3,DTCOLNVHFNM,0.0020584382629459503,0.016936381837355352,0.05128205128205128,0.21448087431693988
CPIAUCSL,3,IPFPNSS,0.04955972086702147,0.0,0.0,0.19672131147540983
CPIAUCSL,3,CES3000000008,0.0054482689588363845,0.0035427456918131206,0.07692307692307693,0.1939890710382514
CPIAUCSL,3,INDPRO,0.0456557212534699,0.0,0.0,0.1885245901639344
CPIAUCSL,3,UNRATE,0.007319723349903697,0.01929723185964738,0.0,0.17759562841530052
CPIAUCSL,3,IPMANSICS,0.036982142160363246,0.0,0.0,0.16939890710382513
CPIAUCSL,3,DDURRG3M086SBEA,0.008360492986280945,0.0,0.07692307692307693,0.16939890710382513
